"HCPCS Code","Modifier","Short Description","Mac Locality","Non-Facility Price","Facility Price","Non-Facility Limiting Charge","Facility Limiting Charge","GPCI Work","GPCI PE","GPCI MP","Proc Stat","Work RVU","NA Flag for Trans Non-FAC PE RVU","Transitioned Non-FAC PE RVU","NA Flag for Fully IMP Non-FAC PE RVU","Fully Implemented Non-FAC PE RVU","NA Flag for Trans facility PE RVU","Transitioned Facility PE RVU","NA Flag for Fully IMP FAC PE RVU","Fully Implemented Facility PE RVU","MP RVU","Transitioned Non-FAC Total","Transitioned Facility Total","Fully Implemented Non-Fac Total","Fully Implemented Facility Total","PCTC","Global","Pre Op","Intra Op","Post Op","Mult Surg","Bilt Surg","Asst Surg","Co Surg","Team Surg","Phys Supv","Endobase","Conv Fact","Not Used for Medicare","Diag Imaging Family Ind","Opps Non-Facility Payment Amount","Opps Facility Payment Amount","Non-Fac PE Used For Opps PMT AMT","Facility PE Used For Opps PMT AMT","Malpractice Used For Opps PMT AMT"
"95970","  ","Alys npgt w/o prgrmg","0118217","$19.92","$19.52","$21.76","$21.32","1.027","1.181","0.689","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118218","$20.20","$19.80","$22.07","$21.63","1.045","1.185","0.724","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118226","$20.20","$19.80","$22.07","$21.63","1.045","1.185","0.724","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118271","$19.13","$18.77","$20.90","$20.50","1.021","1.079","0.595","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118272","$19.82","$19.42","$21.66","$21.22","1.032","1.176","0.596","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118273","$19.29","$18.92","$21.08","$20.67","1.021","1.111","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118274","$19.78","$19.38","$21.61","$21.18","1.031","1.175","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0121201","$19.34","$18.95","$21.12","$20.70","1.003","1.146","0.618","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0131200","$19.11","$18.77","$20.88","$20.51","1.000","1.000","1.098","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0210201","$24.95","$24.57","$27.25","$26.85","1.500","1.100","0.603","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0220200","$17.60","$17.30","$19.23","$18.90","1.000","0.893","0.439","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0230201","$19.14","$18.78","$20.91","$20.51","1.018","1.083","0.612","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0230299","$18.22","$17.90","$19.91","$19.55","1.000","0.966","0.589","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0240202","$20.38","$19.97","$22.27","$21.82","1.039","1.207","0.815","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0240299","$18.86","$18.51","$20.60","$20.22","1.003","1.027","0.773","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0310200","$18.57","$18.24","$20.28","$19.93","1.000","0.963","0.855","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0320201","$18.95","$18.61","$20.70","$20.33","1.000","1.000","0.978","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0330201","$18.26","$17.92","$19.95","$19.58","1.000","1.000","0.474","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0340202","$18.11","$17.78","$19.79","$19.42","1.000","1.000","0.364","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
